taxon,dkappa
MEDIOMASTUS,42.75173611111192
OLIGOCHAETA,34.249131944444464
STREBLOSPIO BENEDICTI,-85.81857638888886
TUBULANIDAE,446.17361111111194
ACTEOCINA CANALICULATA,151.6718750000004
GLYCINDE MULTIDENS,483.8845486111116
AMPELISCA ABDITA,506.1545138888898
TELLINIDAE,204.46701388888815
BIVALVIA,324.3333333333334
LINEIDAE,-176.9670138888894
MULINIA LATERALIS,-17.3854166666664
EDOTIA TRILOBA,102.19010416666707
NUCULA PROXIMA,318.0625000000012
POLYDORA CORNUTA,-74.75520833333337
CAPITELLA CAPITATA,112.89062500000018
PARAPRIONOSPIO ALATA,387.2760416666674
ACTINIARIA,237.4652777777773
HETEROMASTUS FILIFORMIS,113.81250000000024
GLYCERA AMERICANA,304.9131944444443
PHORONIS,-155.1692708333333
KIRSTEUERIELLA BIOCELLATA,509.53385416666833
MYTILIDAE,-320.4001736111111
AMPELISCA,362.8203125000003
HYPERETEONE HETEROPODA,11.609375000000107
PECTINARIA GOULDII,411.9001736111118
SCOLETOMA VERRILLI,393.9227430555561
CIRRATULIDAE,-6.508680555555226
SPIOPHANES BOMBYX,-95.51909722222241
THARYX,504.1553819444453
ARICIDEA (ACMIRA) CATHERINAE,-94.10503472222246
DIPOLYDORA SOCIALIS,282.74652777777806
SIGAMBRA TENTACULATA,99.76215277777726
SPIOCHAETOPTERUS COSTARUM,376.31336805555594
LEITOSCOLOPLOS,-84.04774305555547
NEMERTEA,279.56510416666634
RANGIA CUNEATA,4.767361111111112
OXYUROSTYLIS SMITHI,459.2508680555557
ENOPLA,41.868055555555486
PODARKEOPSIS LEVIFUSCINA,219.0989583333328
KIRKEGAARDIA DORSOBRANCHIALIS,400.40364583333377
TURBONILLA,282.3055555555558
LEITOSCOLOPLOS FRAGILIS,-175.3949652777778
NEREIDIDAE,-3.2196180555557086
PHASCOLION (PHASCOLION) STROMBUS STROMBUS,77.32291666666619
SABACO ELONGATUS,41.67100694444412
MONOCOROPHIUM,147.0156249999998
LEITOSCOLOPLOS ROBUSTUS,51.15190972222198
LEVINSENIA GRACILIS,-374.55815972222234
NINOE NIGRIPES,-316.43055555555566
CLYMENELLA TORQUATA,-290.89322916666646
EXOGONE DISPAR,404.82899305555566
PRIONOSPIO HETEROBRANCHIA,531.5225694444438
SPIOCHAETOPTERUS OCULATUS,194.15190972222203
THARYX ACUTUS,-120.58159722222206
PARAPRIONOSPIO PINNATA,-3.51736111111101
TRITIA TRIVITTATA,-168.47048611111106
POLYGORDIUS JOUINAE,-130.42274305555543
GASTROPODA,-136.77690972222268
IDUNELLA BARNARDI,679.7760416666669
PRIONOSPIO,249.41319444444431
CHONDROCHELIA DUBIA,5.951388888889048
MYSELLA PLANULATA,441.3020833333331
COSSURA DELTA,-89.82291666666661
EURYTELLINA NITENS,-69.79079861111119
GLYCINDE PICTA,-125.8654513888889
MALDANIDAE,84.43923611111116
MYA ARENARIA,440.52170138889437
ALITTA SUCCINEA,236.54079861111086
LEUCON (LEUCON) AMERICANUS,-133.38194444444446
LEITOSCOLOPLOS PUGETTENSIS,561.8029513888944
POLYCIRRUS,-36.3906250000004
ENNUCULA TENUIS,-340.39496527777777
GEMMA GEMMA,16.037326388888914
HOBSONIA FLORIDA,-22.788194444444446
MELINNA MACULATA,97.94357638888881
GRANDIDIERELLA JAPONICA,635.3541666666721
JAPONACTAEON PUNCTOSTRIATUS,164.98350694444392
KURTIELLA TUMIDA,581.2092013888943
MARENZELLERIA VIRIDIS,-18.743923611111114
MONOCOROPHIUM ACHERUSICUM,-50.76302083333335
NEPHTYS INCISA,-508.7786458333333
PSEUDOPOLYDORA PAUCIBRANCHIATA,14.316840277777544
SCOLELEPIS (PARASCOLELEPIS) TEXANA,239.06249999999997
SCOLETOMA TENUIS,355.61284722222223
CARINOMELLA LACTEA,424.9123263888887
COSSURA LONGOCIRRATA,-146.1953125
CYATHURA POLITA,-31.019097222222218
CYCLASPIS VARIANS,539.6510416666691
AMPELISCA VERRILLI,-6.539930555551924
PHOTIS,257.4765624999997
PHYLLODOCE ARENAE,206.54687500000009
STREBLOSPIO,46.43055555555552
EXOGONE (EXOGONE) LOUREI,-37.04513888888897
LYONSIA,183.47569444444483
PARADONEIS LYRA,144.11371527777808
PHOLOE MINUTA,329.01388888889676
SCOLETOMA,-96.95225694444441
AMPHARETE FINMARCHICA,-196.2578125
ARMANDIA BREVIS,454.2430555555456
BIPALPONEPHTYS CORNUTA,1111.4522569444423
