taxon,dkappa
LEUCTRA SP.,-209.4885912698413
PARAMETRIOCNEMUS SP.,-177.6750992063493
AMPHINEMURA SP.,-109.9920634920635
POLYPEDILUM AVICEPS,256.1329365079365
STEMPELLINELLA SP.,64.76587301587261
MICROPSECTRA SP.,-102.8045634920635
MICROTENDIPES PEDELLUS GR.,174.49603174603138
TANYTARSUS SP.,-8.202876984126647
HEXATOMA SP.,83.65674603174627
SIMULIUM SP.,15.18055555555558
EPHEMERELLA DOROTHEA,129.47519841269852
OULIMNIUS LATUSCULUS,-87.9737103174604
BAETIS SP.,168.86855158730154
LEPTOPHLEBIIDAE,86.11458333333333
CONCHAPELOPIA/HELOPELOPIA,-72.95089285714302
TVETENIA BAVARICA GR.,-219.59672619047623
CRYPTOCHIRONOMUS SP.,31.530753968253965
ISOPERLA SP.,96.06150793650808
ACENTRELLA SP.,351.88888888888874
EPEORUS SP.,-36.00496031746032
CHEUMATOPSYCHE SP.,245.51736111111123
CAMBARIDAE,-54.731150793650805
OPTIOSERVUS SP.,124.81448412698388
RHYACOPHILA SP.,-93.64980158730157
POLYPEDILUM CONVICTUM GR.,-48.73611111111129
ANTOCHA SP.,474.1785714285714
NIGRONIA SP.,414.09920634920655
DICRANOTA SP.,261.50198412698404
ZAVRELIMYIA SP.,-13.634920634920624
CONCHAPELOPIA SP.,157.87003968253967
LEPIDOSTOMA SP.,1.349206349206316
POLYPEDILUM SCALAENUM GR.,75.13839285714273
DOLOPHILODES SP.,120.15972222222204
PARATENDIPES SP.,-148.01587301587318
DUBIRAPHIA SP.,145.35416666666666
ACRONEURIA SP.,303.70535714285705
DIAMESA SP.,-42.68551587301591
PARAKIEFFERIELLA SP.,130.02033730158703
RHEOTANYTARSUS SP.,-60.690476190476694
HEMERODROMIA SP.,51.08730158730168
PSEPHENUS HERRICKI,317.6527777777781
NEOPHYLAX SP.,-80.77182539682538
ENCHYTRAEIDAE,0.09077380952380724
AMELETUS SP.,-44.73611111111112
STENACRON SP.,115.54216269841284
CINYGMULA SP.,-33.247023809523824
CHELIFERA SP.,148.40625000000014
POLYCENTROPUS SP.,-28.00644841269867
CERATOPOGONINAE,-49.46875000000006
EUKIEFFERIELLA CLARIPENNIS GR.,-162.97271825396817
PYCNOPSYCHE SP.,41.35515873015874
THIENEMANNIELLA SP.,-131.44047619047618
SIALIS SP.,-13.232142857142927
ISONYCHIA SP.,339.25744047619065
STENELMIS SP.,-82.38640873015855
ABLABESMYIA MALLOCHI,447.8373015873014
HYDRACARINA,446.8164682539679
TIPULA SP.,-35.070932539682524
CRICOTOPUS TREMULUS GR.,-60.56498015873016
CHIRONOMUS SP.,15.731150793650828
EPHEMERA SP.,110.31249999999964
PAGASTIA SP.,14.416666666666536
PARALEPTOPHLEBIA SP.,254.34722222222237
LIMNODRILUS HOFFMEISTERI,-151.84077380952382
CLADOTANYTARSUS SP.,214.31795634920613
CRICOTOPUS BICINCTUS,-16.86607142857142
NATARSIA SP.,-39.00942460317458
PHAENOPSECTRA SP.,207.0585317460318
CAENIS SP.,-45.62202380952382
DIPLECTRONA SP.,24.888392857142833
HAPLOPERLA SP.,51.04265873015868
CHRYSOPS SP.,-61.22966269841271
DRUNELLA CORNUTELLA,59.642361111111136
PARATANYTARSUS SP.,-82.38194444444433
STENELMIS CRENATA,-60.66468253968264
STENONEMA SP.,323.1626984126984
EURYLOPHELLA SP.,-2.6210317460316843
POLYPEDILUM TRITUM,62.206349206349216
CERATOPOGONIDAE,96.9394841269841
CLINOCERA SP.,-14.777777777777821
ECTOPRIA SP.,202.09375000000026
STICTOCHIRONOMUS SP.,-207.1741071428572
CRICOTOPUS SP.,-189.4499007936508
EUKIEFFERIELLA DEVONICA GR.,-83.45287698412709
PTERONARCYS SP.,-7.391369047619025
SERRATELLA DEFICIENS,257.4618055555558
SWELTSA SP.,-44.489583333333336
CORYNONEURA SP.,-98.41666666666674
PROSIMULIUM SP.,-17.21924603174602
LEUCROCUTA SP.,265.7946428571427
MICROTENDIPES RYDALENSIS GR.,283.4727182539688
PHAENOPSECTRA OBEDIENS GR.,6.579861111111199
BAETIS FLAVISTRIGA,-51.80654761904762
PROMORESIA SP.,444.0233134920633
ORTHOCLADIUS SP.,40.318452380952344
SYMPHITOPSYCHE SLOSSONAE,140.3998015873015
PERLIDAE,-55.918650793650784
ECLIPIDRILUS SP.,-14.688988095238097
NEMATODA,-22.11259920634916
TANYTARSUS SP. 6,130.75843253968262
