taxon,dkappa
POLYPEDILUM,393.13368055555526
CRICOTOPUS/ORTHOCLADIUS,-167.43142361111106
TANYTARSUS,179.9991319444446
CERATOPOGONINAE,324.40451388888886
THIENEMANNIMYIA GENUS GR.,-282.4027777777781
CAENIS,443.43576388888886
BAETIS,-239.52864583333334
DICROTENDIPES,472.077256944445
PHYSA,105.5260416666669
ABLABESMYIA,565.0321180555557
CRYPTOCHIRONOMUS,300.3211805555555
RHEOTANYTARSUS,-88.14149305555564
SIMULIUM,-79.39843750000001
CHEUMATOPSYCHE,3.7786458333335275
HYDROPSYCHE,-139.32638888888889
TRICORYTHODES,395.7517361111111
PROCLADIUS,341.0416666666668
CLADOTANYTARSUS,-25.197916666666845
DUBIRAPHIA,359.6336805555555
CHIRONOMUS,205.06770833333326
STENELMIS,263.03645833333326
LEBERTIA,-315.7439236111109
NAIS,-93.6701388888889
PISIDIUM,44.29947916666662
ENCHYTRAEIDAE,-11.605034722222209
HYALELLA,150.9739583333333
OECETIS,521.6484374999999
PHAENOPSECTRA,-264.70659722222234
MICROTENDIPES,-97.50086805555571
HYDROPTILA,48.34201388888886
STEMPELLINELLA,-277.12847222222223
NAIDIDAE,-12.44531249999997
OPTIOSERVUS,-184.4496527777779
HYGROBATES,-250.0017361111109
PARATANYTARSUS,-46.47135416666695
MACCAFFERTIUM,108.96614583333337
NECTOPSYCHE,315.8897569444443
MICROPSECTRA,-55.19357638888888
TVETENIA,-154.1467013888889
CORBICULA,276.6440972222223
AULODRILUS,334.98177083333303
PARAKIEFFERIELLA,203.28906249999963
THIENEMANNIELLA,-169.4340277777777
GAMMARUS,82.6206597222224
LIMNODRILUS,33.98697916666674
PARAMETRIOCNEMUS,-225.69097222222217
CORYNONEURA,-96.91666666666679
EUKIEFFERIELLA,-44.888020833333336
PISIDIIDAE,17.67013888888853
ARGIA,449.15364583333377
SPERCHON,-122.49392361111109
DERO,174.94010416666674
GOMPHIDAE,357.8706597222219
TURBELLARIA,-36.66493055555558
HEMERODROMIA,46.988715277777686
LABIOBAETIS,443.1909722222221
CRYPTOTENDIPES,260.8446180555556
NANOCLADIUS,426.8932291666668
PARATENDIPES,-36.66145833333345
ANAFROPTILUM,152.48871527777789
MIDEOPSIS,407.3029513888885
STICTOCHIRONOMUS,175.56597222222248
COENAGRIONIDAE,104.4279513888888
TRIBELOS,196.39409722222197
PARALAUTERBORNIELLA,68.56770833333344
STENOCHIRONOMUS,470.1788194444442
CAECIDOTEA,125.43315972222234
NEUMANIA,296.79600694444434
LEPIDOSTOMA,14.936631944444443
LEPTOPHLEBIIDAE,-35.631944444444436
ACENTRELLA,-10.13368055555568
RHEOCRICOTOPUS,-142.61545138888894
PROCLOEON,509.8645833333335
BRILLIA,-122.23263888888887
EPHEMERELLA,12.540798611111109
FERRISSIA,196.89583333333346
LABRUNDINIA,390.5416666666667
ARRENURUS,392.36371527777743
GLYPTOTENDIPES,67.83680555555567
PSEUDOCHIRONOMUS,327.347222222222
BRACHYCENTRUS,-42.626736111111086
RHYACOPHILA,5.927083333333336
LEUCROCUTA,7.417534722222119
MACRONYCHUS,116.06857638888853
FALLCEON,-23.382812499999986
PLANORBIDAE,200.39236111111077
EPEORUS,39.49999999999999
SIALIS,76.52343750000007
PSEPHENUS,-10.297743055555578
STENACRON,216.5607638888885
PARACLADOPELMA,-14.464409722222262
ORTHOCLADIINAE,-18.191840277777768
DRUNELLA,57.65277777777777
HYDROBIIDAE,382.3628472222221
LIMNESIA,126.91319444444441
MICROCYLLOEPUS,318.9296875000001
ZAVRELIMYIA,-61.93749999999998
ISONYCHIA,40.445312500000036
LUMBRICULIDAE,9.349826388888866
BEROSUS,315.34722222222223
