taxon,dkappa
POLYPEDILUM,-212.90525793650784
TANYTARSUS,-52.56845238095218
CRICOTOPUS/ORTHOCLADIUS,-4.249503968253969
THIENEMANNIMYIA GENUS GR.,-26.256448412698248
STENELMIS,92.86557539682549
CERATOPOGONINAE,-78.0466269841272
CHEUMATOPSYCHE,5.017361111111227
ABLABESMYIA,26.261904761904788
RHEOTANYTARSUS,47.32539682539675
BAETIS,-10.718253968253947
CAENIS,185.75
DICROTENDIPES,143.16964285714292
HYDROPSYCHE,28.667162698412586
MICROTENDIPES,0.8834325396825129
CRYPTOCHIRONOMUS,-117.41964285714278
DUBIRAPHIA,-4.214781746031567
MACCAFFERTIUM,159.9632936507935
LEBERTIA,-82.21974206349206
PROCLADIUS,56.48164682539689
OECETIS,139.0332341269841
STEMPELLINELLA,-89.18650793650845
PHAENOPSECTRA,-44.5024801587302
TRICORYTHODES,173.64136904761918
OPTIOSERVUS,81.4374999999998
CLADOTANYTARSUS,-103.11359126984132
PISIDIUM,-63.272321428571445
SIMULIUM,-11.258432539682461
PHYSA,21.550595238095227
PSEPHENUS,215.92658730158715
PROCLOEON,230.9940476190475
CORBICULA,21.473214285713805
HYDROPTILA,115.42906746031751
CHIRONOMUS,46.75347222222223
TVETENIA,59.25396825396811
HYGROBATES,-139.48363095238113
TRIBELOS,-44.777777777777715
NAIS,-30.59027777777776
PARAMETRIOCNEMUS,-111.74454365079377
GAMMARUS,1.6567460317460274
NAIDIDAE,-78.79365079365083
STENOCHIRONOMUS,203.15773809523816
TURBELLARIA,-3.581845238095209
HEMERODROMIA,-41.266865079365225
LEUCROCUTA,234.95882936507942
AULODRILUS,39.56001984126977
ENCHYTRAEIDAE,-107.4161706349206
MIDEOPSIS,80.28621031746037
PARAKIEFFERIELLA,-59.18700396825397
PARATANYTARSUS,-30.938988095238106
ARGIA,138.23710317460328
OULIMNIUS,-85.16269841269852
PARATENDIPES,-15.127976190476202
CORYNONEURA,-49.63293650793659
CHIMARRA,13.902281746031585
GOMPHIDAE,72.10565476190476
LEPIDOSTOMA,205.55059523809533
LEPTOPHLEBIIDAE,156.77430555555551
PISIDIIDAE,-67.74355158730152
CAECIDOTEA,-3.787202380952381
FERRISSIA,187.59474206349216
STENACRON,175.62202380952388
HYALELLA,-0.5600198412698655
MACRONYCHUS,-50.151785714285666
THIENEMANNIELLA,-131.24355158730148
EURYLOPHELLA,19.623511904761855
LEUCTRA,141.20734126984127
LUMBRICULIDAE,60.62549603174592
SIALIS,48.84027777777788
ISONYCHIA,99.07787698412704
ECTOPRIA,180.45486111111117
NEUMANIA,-15.734126984126904
PLANORBIDAE,-8.059027777777724
ANTOCHA,-47.45089285714304
PSEUDOCHIRONOMUS,39.8090277777778
PROSTOMA,-89.08482142857133
MICROPSECTRA,60.5783730158729
CRYPTOTENDIPES,-46.28819444444459
RHYACOPHILA,111.25694444444458
ANAFROPTILUM,86.9012896825397
MYSTACIDES,-208.4484126984128
ARRENURUS,65.03174603174607
HEXATOMA,88.97420634920634
STEMPELLINA,-46.80456349206364
CRANGONYX,19.71924603174602
MENETUS,101.32390873015873
PROMORESIA,-17.709821428571548
ZAVRELIMYIA,31.132936507936517
EPEORUS,207.1626984126984
NANOCLADIUS,118.97619047619058
ACRONEURIA,179.61954365079353
NIGRONIA,246.93005952380952
PLAUDITUS,92.9399801587303
BRILLIA,-73.41865079365091
DERO,31.701884920634853
ACENTRELLA,88.92559523809523
HELICOPSYCHE,-10.141865079364917
NILOTHAUMA,107.45535714285711
LABIOBAETIS,66.8179563492065
NECTOPSYCHE,30.838293650793673
RHEOCRICOTOPUS,23.47619047619071
