taxon,dkappa
Spartina patens (Aiton) Muhl.,-26.000000000000018
Distichlis spicata (L.) Greene,-3.048611111111112
Polygonum punctatum Elliott,71.5380291005285
Vigna luteola (Jacq.) Benth.,180.09027777777757
Bare Ground,3.0863095238095206
Amaranthus australis (A. Gray) Sauer,68.95800264550276
Spartina alterniflora Loisel.,-0.35052910052910075
Alternanthera philoxeroides (Mart.) Griseb.,91.78571428571416
Cyperus odoratus L.,199.91435185185173
Symphyotrichum tenuifolium (L.) G.L. Nesom,33.260251322751316
Bolboschoenus robustus (Pursh) Soják,13.239748677248677
Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,-87.72056878306874
Ipomoea sagittata Poir.,242.82208994709026
Echinochloa walteri (Pursh) A. Heller,110.10482804232821
Sagittaria lancifolia L.,-18.134259259259412
Typha latifolia L.,178.86011904761904
Sacciolepis striata (L.) Nash,174.374669312169
Lythrum lineare L.,32.05489417989417
Typha domingensis Pers.,-120.80952380952367
Paspalum vaginatum Sw.,39.123346560846535
Hydrocotyle umbellata L.,-44.346230158730144
Mikania scandens (L.) Willd.,83.01289682539642
Pluchea odorata (L.) Cass.,-6.106150793650826
Juncus roemerianus Scheele,-2.1451719576719577
Bacopa monnieri (L.) Pennell,204.17923280423278
Ludwigia grandiflora (Michx.) Greuter & Burdet,18.66137566137601
Leersia hexandra Sw.,-154.56878306878306
"Bidens laevis (L.) Britton, Sterns & Poggenb.",93.7222222222221
Typha L.,-102.97189153439156
"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",60.7089947089947
Pontederia cordata L.,97.26984126984094
Panicum hemitomon Schult.,35.952050264550245
Baccharis halimifolia L.,59.72982804232811
Iva frutescens L.,23.794973544973477
Echinochloa crus-galli (L.) P. Beauv.,6.052579365079429
Eleocharis R. Br.,-135.8376322751326
Symphyotrichum Nees,-7.03505291005295
Cyperus haspan L.,-1.1564153439152325
Symphyotrichum subulatum (Michx.) G.L. Nesom,1.004629629629709
Acer rubrum L.,142.33366402116414
Eleocharis macrostachya Britton,-62.07308201058194
Polygonum hydropiperoides Michx.,134.29497354497371
Galium tinctorium (L.) Scop.,-18.051917989418044
Hydrocotyle ranunculoides L. f.,-4.515873015872899
Phyla lanceolata (Michx.) Greene,99.15343915343895
Carex L.,117.85449735449743
Taxodium distichum (L.) Rich.,175.90277777777783
Rhynchospora corniculata (Lam.) A. Gray,110.98743386243376
Saururus cernuus L.,-17.5099206349206
Eleocharis cellulosa Torr.,94.95370370370365
Eclipta prostrata (L.) L.,112.1319444444451
Boehmeria cylindrica (L.) Sw.,-251.1815476190477
Cephalanthus occidentalis L.,207.40939153439163
Schoenoplectus californicus (C.A. Mey.) Palla,18.588293650793656
Phragmites australis (Cav.) Trin. ex Steud.,-9.839616402116434
Kosteletzkya virginica (L.) C. Presl ex A. Gray,-145.54133597883592
Ludwigia leptocarpa (Nutt.) H. Hara,-54.41005291005257
Cyperus L.,69.61078042328012
Zizaniopsis miliacea (Michx.) Döll & Asch.,46.24239417989424
Cyperus virens Michx.,-70.68584656084634
Solidago sempervirens L.,-194.13260582010582
Cyperus filicinus Vahl,9.96792328042323
Ludwigia peploides (Kunth) P.H. Raven,180.50297619047635
Sesbania drummondii (Rydb.) Cory,-67.8518518518519
Phanopyrum gymnocarpon (Elliott) Nash,1.1011904761904958
Sagittaria latifolia Willd.,-126.10085978835984
Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,-82.52050264550263
Juncus effusus L.,82.09854497354478
Hygrophila lacustris (Schltdl. & Cham.) Nees,-6.793981481481481
Nyssa aquatica L.,-0.4444444444444571
Symphyotrichum divaricatum (Nutt.) G.L. Nesom,2.4659391534392463
Thelypteris palustris Schott,-245.25363756613783
Peltandra virginica (L.) Schott,359.31051587301585
Carex comosa Boott,-154.65906084656032
Pluchea camphorata (L.) DC.,23.3604497354498
Hydrocotyle L.,-82.33134920634913
Leersia Sw.,5.694775132275301
Leptochloa fusca (L.) Kunth,34.670965608465615
Eupatorium capillifolium (Lam.) Small,-17.14517195767219
Panicum dichotomiflorum Michx.,-1.9914021164019857
Sagittaria platyphylla (Engelm.) J.G. Sm.,-104.54794973544959
Cicuta maculata L.,-87.24503968253946
Panicum repens L.,-50.5929232804233
Morella cerifera (L.) Small,-30.184523809524034
Cladium mariscus (L.) Pohl,-36.608796296296276
Ludwigia L.,158.15509259259267
Spartina cynosuroides (L.) Roth,-2.9947089947089967
Sesbania herbacea (Mill.) McVaugh,-64.46164021163995
Justicia lanceolata (Chapm.) Small,-6.84292328042299
Salix nigra Marshall,-174.07440476190482
Ammannia latifolia L.,43.78703703703693
Cyperus strigosus L.,-303.59854497354564
Colocasia esculenta (L.) Schott,-95.92956349206342
Fraxinus caroliniana Mill.,101.06415343915342
Triadica sebifera (L.) Small,-51.11706349206333
Fraxinus profunda (Bush) Bush,34.12070105820108
Unknown #1,-52.673941798942884
Aeschynomene indica L.,-163.3379629629635
Crinum americanum L.,56.81746031746036
Ptilimnium capillaceum (Michx.) Raf.,-153.35185185185247
