"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","taxon"
1356.05,765.15,458,1,74.98,0.004,5.28,63.2175,70.745,662.8,806.195,818.218,0.88,1,5.55265634010401,0,"POLYPEDILUM"
1251.9,919.3,378,1,61.8,0.052,1.97,19.35,26.35,366.1,898.45,919.3,0.64,0.876,3.02657419092181,0,"TANYTARSUS"
1356.05,76.81,340,2,45.55,0.008,3.83,15.62,56.958,79.73,384.96,568.774999999998,0.888,0.988,4.28779613147022,0,"CRICOTOPUS/ORTHOCLADIUS"
17.6,35.485,292,1,54.65,0.004,6.64,19.49175,20.365,37.21,103.847,453.0075,0.908,1,7.44912978826528,0,"THIENEMANNIMYIA GENUS GR."
14.47,191.275,282,2,45.73,0.004,8.25,126.15375,166.873,205.5275,337.3285,341.55575,1,1,8.8652841893226,2,"STENELMIS"
14.05,223.3525,263,1,40.3,0.004,6.04,34.4345,53.3,218.4,255,290.8325,0.976,1,7.01923125469927,1,"CERATOPOGONINAE"
1356.05,302.28,261,2,38.73,0.004,4.45,27.8775,163.4555,307.77,398.375,404.95625,0.98,0.972,5.48128191560971,2,"CHEUMATOPSYCHE"
1356.05,31.35,259,2,35.1,0.068,1.78,18.67,24.1,102.76,551.22,770.804999999999,0.744,0.98,3.38976399889891,0,"ABLABESMYIA"
1356.05,96.25,253,1,35.61,0.012,3.15,15.711,51.152,96.4,434.635,483.109999999999,0.724,0.96,4.00881745368526,0,"RHEOTANYTARSUS"
1356.05,20.6,246,1,45.37,0.024,2.53,16.25,18.4,33.625,445.11,665.0475,0.616,0.92,3.55012598096573,0,"BAETIS"
18.35,253.75,246,2,36.29,0.004,4.85,28.5565,47.585,243.475,342.43,535.7875,0.932,0.996,5.60846670137462,0,"CAENIS"
14.47,121.45,244,2,33.99,0.004,4.04,24.405,26.0875,100.375,186.9,495.5075,0.912,0.984,4.52138023565839,0,"DICROTENDIPES"
14.05,423.7,232,2,33.11,0.02,2.56,27.885,29.743,389.15,641.76675,765.15,0.552,0.98,4.0206519738564,0,"HYDROPSYCHE"
14.47,27.885,230,2,40.38,0.008,3.38,24.405,26.535,72.6,404.735,657.265,0.96,0.996,3.73344366161804,2,"MICROTENDIPES"
16.9,47.75,229,2,39.06,0.004,5.21,36.05,41.58,78.59,387.8075,399.937,1,1,6.00992998310836,2,"CRYPTOCHIRONOMUS"
18.35,96,217,2,32.74,0.004,4.84,49.2125,71.04,128.325,274.45,329.8965,0.996,1,6.23339048280852,2,"DUBIRAPHIA"
919.3,607.3,209,1,38.78,0.004,4.18,23.21525,53.67,541.425,607.35,615.6,0.992,1,4.44979728905323,1,"MACCAFFERTIUM"
14.05,177.965,207,2,25.97,0.044,2.13,25.85125,26.535,191.6125,523.61,812.3545,0.824,0.884,3.16271446403873,0,"LEBERTIA"
787.1,787.1,197,2,36.16,0.036,1.93,13.9675,14.82,37.895,787.1,798.92775,0.636,0.66,2.98196558350144,0,"PROCLADIUS"
919.3,358.8,191,1,26.09,0.016,2.67,19.8275,20.6,211.65,409.415,686.5,0.6,0.984,3.56927310142437,0,"OECETIS"
18.35,37.1,186,1,39.35,0.004,6.03,24.405,30.65,39.3,63.9,231.956,1,1,6.90306611779543,1,"STEMPELLINELLA"
17.45,68.9,181,2,31.74,0.004,4.94,55.355,57.15,70.195,121.45,184.10625,0.992,1,5.22121212912896,2,"PHAENOPSECTRA"
25.275,57.15,178,2,31.61,0.004,4.96,32.4,33.2,63.2175,274.45,375.7325,0.952,1,5.42504554172476,2,"TRICORYTHODES"
1185.55,156.475,175,2,30.25,0.004,6.34,108.64,115.695,130.1,158.43,161.605,0.992,0.992,6.51499969754338,2,"OPTIOSERVUS"
33.3,71.125,174,2,33.44,0.004,6.09,48.0215,49.29,71.125,76.3,82.26,0.984,1,6.06018546540961,2,"CLADOTANYTARSUS"
1251.9,28.87,173,2,27.55,0.072,1.76,17.565,27.15,299.68,1228.365,1410.0325,0.664,0.94,3.37192227115574,0,"PISIDIUM"
20.9,26.685,168,1,53.15,0.004,8.95,20.7,21.609,29.47,92.65,97.5175,1,1,9.4743437364348,1,"SIMULIUM"
37.21,90.35,163,2,29.97,0.004,5.46,37.927,39.882,83.4375,410.68,659.463374999999,1,1,6.75277780048942,2,"PHYSA"
19.35,159.9,162,2,21.33,0.104,1.57,22.1495,29.992,159.75,651.703,748.8625,0.664,0.864,2.85258419706114,0,"PSEPHENUS"
1065.4,518.25,156,1,27.03,0.012,3.25,60.05,67.85,345.5125,541.79,548.5,0.848,0.992,4.42334016101521,0,"PROCLOEON"
39.05,38.55,154,2,33.3,0.004,6.29,40.6575,44,62.3175,261.96,340.01525,1,1,6.91656406419906,2,"CORBICULA"
19.35,382.5,149,2,24.78,0.008,3.49,25.42025,41.6,367.075,393.475,436.4375,0.932,0.984,4.20649799416788,0,"HYDROPTILA"
26.535,53.25,148,2,28.07,0.004,3.73,37.38,49.6,89.35,313.42375,348.4,0.992,0.996,4.83029089353779,2,"CHIRONOMUS"
1251.9,83.5,138,1,21.71,0.004,3.84,18.25,32,91.55,509.3125,560.38,0.852,0.98,5.00479800429502,0,"TVETENIA"
1356.05,307.74,131,2,23.03,0.004,4.35,45.90825,86.735,294.225,390.345,455.057499999999,0.968,0.988,5.04591114760707,2,"HYGROBATES"
14.05,301.35,130,1,25.42,0.004,5.49,13.05,34.76,290.35,300.945,310.2875,0.996,0.996,6.02384933090715,1,"TRIBELOS"
15.35,40.32,129,2,21.28,0.06,1.89,21.825,28.285,77.4825,913.34,1185.55,0.748,0.848,3.16035556924316,0,"NAIS"
19.35,48.45,129,1,34.3,0.004,9.11,30.7,32.5225,41.7,86.382,919.3,0.916,1,10.099025581124,0,"PARAMETRIOCNEMUS"
96.25,94.935,128,2,32.17,0.004,11.63,85.79,91.2,175.9,296.1205,298.596,1,1,12.1554463117128,2,"GAMMARUS"
657.265,327.55,125,2,31.51,0.004,8.48,187.125,314.385,331.2825,526.8875,550.26,1,1,9.12365136154438,2,"NAIDIDAE"
1065.4,165.525,125,1,21.22,0.004,5.47,90.834,134.75,173.45125,217.9,225.193625,0.988,1,5.91744046179386,1,"STENOCHIRONOMUS"
522.9,344.85,125,2,34,0.004,11.44,328.29925,340.4045,382.325,523.575,533.975,1,1,12.3814380728818,2,"TURBELLARIA"
18.35,324.815,122,2,19.95,0.004,3.76,51.5825,185.0825,331.065,538.845,683.59,0.952,0.94,4.5561688143409,0,"HEMERODROMIA"
548.5,412.545,122,1,23.54,0.004,4.05,226.75725,328.8,412.9,557.3,562.9,0.988,1,4.47379987507092,1,"LEUCROCUTA"
28.285,34.71,119,2,24,0.008,3.58,28.86175,33.015,52.9,103.05,370.136249999999,0.996,0.996,3.83608073502011,2,"AULODRILUS"
32.2,32.5,117,1,41.02,0.004,9.78,28.285,31.3,32.925,57.385,78.12325,0.972,1,10.0649535105372,1,"ENCHYTRAEIDAE"
1065.4,557.3,117,1,21.91,0.016,2.71,26.685,31.35,503.525,564.5,579.6825,0.528,0.996,3.41134340189803,0,"MIDEOPSIS"
20.6,166.38,117,1,22.95,0.004,5.41,164.06475,166.04,184.15,211.65,253.14625,0.992,1,5.72625871840304,1,"PARAKIEFFERIELLA"
