"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","taxon"
701,186.45,115,2,20.49,0.004,5.25,91.85875,93.823,225.6525,701,714.45,1,1,6.76026801286333,2,"PARATANYTARSUS"
1251.9,322.725,113,2,19.88,0.004,4.75,53.68075,81.94,296.875,376.775,502.665,0.996,1,5.55876860921051,2,"ARGIA"
24.405,52.33,113,1,33.55,0.004,8.91,24.405,25.1195,51.19,82.0825,125.8,1,1,9.71826142644607,1,"OULIMNIUS"
657.265,406.8,111,2,22.96,0.012,4.26,73.39425,84.76,404.8125,665.155,769.33,1,1,6.32114954605187,2,"PARATENDIPES"
32.925,33.675,110,1,21.1,0.016,3.19,32.5,32.6,96.225,402.6875,625.444999999999,0.892,0.932,4.47467771427419,0,"CORYNONEURA"
25.275,169.02,109,2,16.67,0.02,2.61,24.655,25.275,174.4,421.15,431.3725,0.968,0.972,3.53056228997238,2,"CHIMARRA"
14.47,104.695,105,1,16.79,0.004,3.39,22.228,23.2445,125.0375,521.91,1039.65,0.916,0.96,4.34188034553325,0,"GOMPHIDAE"
18.35,44.9,105,1,40.7,0.004,12.27,28.29175,32.5225,46.9425,116.94825,126.505,1,1,12.9030195777029,1,"LEPIDOSTOMA"
14.82,99.35,105,1,25.61,0.004,8.47,17.81,32.925,85.925,103.05,104.22725,1,1,9.46214617077969,1,"LEPTOPHLEBIIDAE"
44.9,151.175,104,1,18.48,0.004,4.97,44.845,46.285,141.4,177.4025,188.78575,0.98,0.988,6.06142072088413,1,"PISIDIIDAE"
1185.55,742.455,101,2,45.52,0.004,7.97,56.22575,638.7285,739.805,1185.55,1219.4275,1,0.976,8.31034716370682,2,"CAECIDOTEA"
898.45,88.35,101,2,18.52,0.004,3.87,78.9,79.75,91.75,156.475,297.848,0.968,0.996,4.5609993238475,2,"FERRISSIA"
1356.05,72.125,101,2,19.21,0.004,4.2,68.933,70.757,100.275,300.414,323.175,0.988,1,5.048823835617,2,"STENACRON"
20.9,358.8,100,1,19.34,0.004,3.62,90.39,152.806,306.1,374.55,376.55,0.948,0.96,4.52548277235962,0,"HYALELLA"
24.405,335.975,100,2,18.08,0.004,4.35,26.65425,37.947,335.95,522.9,526.65,0.984,0.996,4.66508921151402,2,"MACRONYCHUS"
15.95,15.95,98,1,44.9,0.004,5.58,14.5915,15.5,17.575,537.5,673.6725,0.888,0.884,5.35260418114733,0,"THIENEMANNIELLA"
19.35,83.5,97,1,31.39,0.004,13.22,23.5305,24.405,69.975,103.475,130.6025,1,1,14.8855178456643,1,"EURYLOPHELLA"
18.35,63.65,97,1,35.47,0.004,14.96,24.34725,24.55,35.775,71.0415,73.92075,1,1,16.4018116836545,1,"LEUCTRA"
1251.9,215.65,95,1,12.69,0.152,1.17,19.98075,25.975,235.6175,643.28075,769.33,0.732,0.676,3.09413251926869,0,"LUMBRICULIDAE"
1065.4,111.275,94,1,16.36,0.008,3.75,32.925,36.05,93.725,908.65,1065.4,0.748,0.988,5.75722560674228,0,"SIALIS"
742.455,231.815,93,1,14.6,0.016,2.65,39.4275,51.452,210.7375,477.89,525.08375,0.704,0.976,3.64155702012945,0,"ISONYCHIA"
919.3,44.1,92,1,24.79,0.004,7.02,29.6185,34.71,50.9,945.05,1185.55,0.688,1,8.45308922560061,0,"ECTOPRIA"
32.5,32.2,92,2,19.24,0.02,2.74,32,32.4,225.27625,489.335,506.4,0.968,0.98,3.76226619778095,2,"NEUMANIA"
14.05,285,91,2,16.23,0.004,3.74,13.2,40.895,290.3,323.175,353.7615,0.904,0.98,4.5354553889167,0,"PLANORBIDAE"
427.35,337.6,90,2,19.05,0.004,5.54,296.4335,319.605,337.215,433.58,513.85375,0.968,0.98,6.3184690041061,2,"ANTOCHA"
18.35,31.35,90,2,16.59,0.048,2,31.3225,32.2,96.65,351.83,664.89,0.304,0.908,3.0808244020711,0,"PSEUDOCHIRONOMUS"
61.425,56.985,89,2,18.58,0.004,4.3,57.13,57.365,61.425,417.35,433.0975,0.996,1,5.1331695825744,2,"PROSTOMA"
15.35,36.05,88,1,34.94,0.004,10.59,16.1,20.365,52.79,81.119,82.41875,1,1,11.6300628559493,1,"MICROPSECTRA"
16.9,524.175,87,1,16.19,0.036,2.12,33.6475,36.275,290.3375,523.575,533.975,0.828,0.884,3.02845734362671,0,"CRYPTOTENDIPES"
14.82,34.71,84,1,35.96,0.004,12.46,23.995,24.4995,38.675,79.8785,191.64375,1,1,13.9166350913382,1,"RHYACOPHILA"
26.35,48.035,83,2,16.29,0.012,3.28,47.81075,48.2,53.755,153.2435,305.1,0.932,0.992,3.85015000370497,0,"ANAFROPTILUM"
18.35,137.3,81,1,12.31,0.064,1.89,35.86,37.83,138.075,437.85,480.4775,0.412,0.948,3.68305146189438,0,"MYSTACIDES"
17.6,533.975,80,1,13.43,0.156,1,33.245,41.035,306.1,535.7,538.065,0.736,0.676,2.55157815618686,0,"ARRENURUS"
17.45,34.71,78,1,35.94,0.004,13.66,26.07625,27.5,37.1,96,99.3775,0.996,1,14.1936435234134,1,"HEXATOMA"
14.82,165.525,77,1,14.22,0.008,3.88,17.45,82.4415,166.37,338.95,474.612499999999,0.956,0.984,4.9595093561995,1,"STEMPELLINA"
1251.9,524.175,76,2,25.38,0.004,6.46,205.184,413.2145,528.7625,1251.9,1315.85,1,1,7.7884400345492,2,"CRANGONYX"
18.35,33.2,75,2,13.43,0.08,1.43,32.2,33.2,344.4125,441.58,590.0525,0.824,0.76,2.62606064887612,0,"MENETUS"
15.35,33.675,75,1,35.67,0.004,11.84,15.35,24.469,32.925,92,140.785,1,1,12.5892705544138,1,"PROMORESIA"
37.6,44.9,74,1,22.93,0.004,7.23,34.88825,37.21,41.6,51.205,561.329999999999,0.928,0.996,7.19510764866616,0,"ZAVRELIMYIA"
16.9,23.545,73,1,64.63,0.004,18.36,16.9,16.9,20.6,48.6015,57.15,1,1,18.912135576089,1,"EPEORUS"
823.755,199.225,73,1,12.24,0.004,3.25,28.14825,69.439,196.43,228.35,247.38625,0.876,0.932,4.07842810775769,0,"NANOCLADIUS"
14.05,92,72,1,20.25,0.004,8.49,24.04225,26.35,91.475,181.649,245.185,1,1,9.43667137518344,1,"ACRONEURIA"
30.65,55.895,72,1,18.04,0.004,5.71,29.935,30.65,53.755,243.265,367.3335,0.956,0.988,7.1341018094012,1,"NIGRONIA"
14.05,14.05,72,1,54.71,0.004,6.94,13.2,14.05,26.535,412.545,423.4825,0.992,1,5.8577774828269,1,"PLAUDITUS"
16.9,47.285,70,1,23.94,0.004,9.02,17.495,19.35,36.85,57.0175,64.4,1,1,9.88954376905848,1,"BRILLIA"
810.695,315.955,70,1,11.52,0.184,1.03,19.05,51.38,96.125,322.705,426.265,0.66,0.62,2.22124966647137,0,"DERO"
14.05,14.05,69,1,55.51,0.004,7.37,13.9675,14.05,22.785,41.265,224.041375,1,0.98,6.86907897288656,1,"ACENTRELLA"
683.2,521.2,68,1,13.87,0.032,2.25,66.1,101.125,307.77,523.635,538.6,0.464,0.964,3.06691721861755,0,"HELICOPSYCHE"
185.8,128.45,68,1,15.47,0.004,6.45,129.8,130.65,186.365,296.71,298.265,1,1,7.85933903135099,1,"NILOTHAUMA"
94.935,96,67,1,14.31,0.004,3.91,28.57,74.13,96,320.1,345.85,0.98,0.96,4.37718322799983,1,"LABIOBAETIS"
26.535,259.75,67,2,12.54,0.008,3.98,33.245,99.31,284.9,370.825,533.7025,0.984,0.952,4.56698917086961,2,"NECTOPSYCHE"
919.3,96,67,1,16.22,0.004,6.96,63.545,79.5,96.025,151.1875,512.027999999999,0.92,1,7.29365037746177,0,"RHEOCRICOTOPUS"
