taxon,dkappa
Poa pratensis,-630.9080687830682
Agropyron repens,112.37334656084654
Panicum oligosanthes,-655.4279100529111
Schizachyrium scoparium,-307.73941798941775
Erigeron canadensis,-9.797619047619092
Cyperus sp.,-422.29034391534447
Polygonum convolvulus,-127.26587301587313
Asclepias syriaca,-93.58564814814827
Agrostis scabra,-208.170304232804
Carex sp.,-228.13161375661397
Ambrosia coronopifolia,-213.9957010582008
Achillea millefolium(lanulosa),-36.70932539682542
Anemone cylindrica,-143.86276455026427
Lespedeza capitata,-177.59292328042332
Setaria lutescens (glauca),-19.600529100528934
Hedeoma hispida,-70.17559523809534
Solidago nemoralis,-410.0205026455022
Chenopodium album,299.0297619047619
Eragrostis spectabilis,-300.64120370370364
Aristida basiramea,-110.51818783068758
Tragopogon dubius (major),-80.42625661375673
Panicum praecocious,-207.7490079365078
Artemisia ludoviciana,-338.614417989418
Berteroa incana,51.83068783068785
Rumex acetosella,-95.78439153439164
Oenothera biennis,-74.40674603174614
Panicum perlongum,-328.6107804232801
Erigeron strigosus,-97.67361111111104
Sorghastrum nutans,-297.27777777777845
Andropogon gerardi,-197.5029761904759
Oxybaphus hirsutus,-242.66005291005254
Tradescantia occidentalis,-310.18716931216954
Physalis virginiana,-104.58267195767196
Ambrosia artemisiifolia elatior,56.86541005291004
Equisetum laevigatum,47.54662698412699
Rosa arkansana,-211.25925925925898
Viola pedatifida,-181.578373015873
Solidago rigida,-205.20403439153438
Lathyrus venosus,-183.765542328042
Euphorbia corollata,-4.180224867724971
Crepis tectorum,3.8475529100529022
Asclepias tuberosa,-84.09325396825373
Asclepias ovalifolia,-198.67361111111117
Liatris aspera,-141.4947089947091
Rubus sp.,-207.51289682539675
Silene antirrhina,32.40707671957667
Lepidium densiflorum,14.83399470899473
Lithospermum caroliniense,-153.49338624338623
Potentilla recta,29.987764550264615
Polygala polygama,-140.26058201058208
Euphorbia glyptosperma,-302.4586640211641
Helianthemum bicknellii,-314.4388227513225
Fragaria virginiana,-46.20171957671959
Aster azureus,-109.22982804232804
Polygonum tenue,-96.3746693121692
Rudbeckia serotina,-50.9679232804232
Hieracium longipilum,-126.08796296296266
Sisyrinchium campestre,-143.32506613756598
Chenopodium leptophyllum,319.06316137566097
Lithospermum canescens,-290.8260582010582
Lychnis alba,168.51719576719563
Stipa spartea,-228.0839947089945
Apocynum cannabinum,34.06448412698415
Cyperus filiculmis,-567.8974867724775
Mollugo verticillata,283.2027116402116
Solidago graminifolia,-177.09093915343877
Campanula rotundifolia,-142.55621693121705
Physalis heterophylla,17.983796296296287
Verbascum thapsus,74.36970899470889
Artemisia (caudata) campestris,-25.682208994708898
Asclepias sp.,164.92691798941806
Muhlenbergia racemosa,116.59788359788364
Cyperus schweinitzii,-484.92427248676364
Ranunculus rhomboideus,-94.25363756613707
Panicum capillare,-17.054894179894063
Rhus glabra,178.84060846560837
Leptoloma cognatum,-487.4986772486682
Helianthus laetiflorus,29.59027777777783
Sporobolus cryptandrus,-140.28835978835954
Gnaphalium obtusifolium,-32.32341269841282
Viola sp.,-62.70271164021241
Aster ericoides,-69.20039682539671
Digitaria ischaemum,-64.13789682539725
Antennaria neglecta,32.944444444444564
Penstemon gracilis,47.896494708994744
Calamagrostis canadensis,51.820436507936485
Comandra richardsiana,-92.67989417989429
Penstemon grandiflorus,278.26554232804637
Quercus ellipsoidalis,62.7146164021168
Stachys palustris,4.278439153439185
Arabis divaricarpa,95.69874338624363
Lechea stricta,66.91005291005305
Euphorbia (supina) maculata,99.35548941798902
Quercus macrocarpa,78.69080687830932
Calamovilfa longifolia,-39.48809523809496
Corylus americanus,6.919312169312403
Panicum virgatum,-396.1620370370277
Asclepias verticillata,31.847883597883946
Sporobolus sp.,75.16402116402128
Helianthus giganteus,212.43617724867696
