"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","taxon"
16.15,102.75,159,1,27.51,0.004,8.15,53.1275,55.645,76.9875,115.5,127.2,1,1,8.98004361841852,1,"NEOPHYLAX SP."
15.85,31.85,158,1,20.23,0.116,1.32,15.2,18.13,69.7,455.315,1139,0.732,0.78,3.24685569819782,0,"ENCHYTRAEIDAE"
16.55,63.7,143,1,33.17,0.004,9.56,28.8191666666667,52.45,65.3,95.935,123.1,1,1,10.3173084223453,1,"AMELETUS SP."
471.4,351.5,142,1,21.92,0.016,3.17,27.829375,42.69,299.25,459.85,472,0.66,1,3.99195872655877,0,"STENACRON SP."
17.2,61.525,141,1,31.09,0.004,13.03,27.919375,29.245,66.9,114.2,115,1,1,13.8862228807906,1,"CINYGMULA SP."
21.1,63.85,138,1,18.99,0.016,2.88,37.1425,45.79,65.3,591.01,903.429999999997,0.792,0.8,4.17703059730819,0,"CHELIFERA SP."
30.45,52.1,137,1,27.35,0.004,9.57,31.745,32.05,45.825,130.72,166.4,1,1,10.6891432886635,1,"POLYCENTROPUS SP."
15.85,20.6666666666667,136,1,35.96,0.004,5.57,15.35,16.55,23.66,622.244999999998,1113.475,0.856,0.996,7.58815776719805,0,"CERATOPOGONINAE"
1061.45,1061.45,136,2,33.19,0.064,1.46,26.445,27.3333333333333,276.05,1139,1163.5,0.416,0.756,3.01944985787656,0,"EUKIEFFERIELLA CLARIPENNIS GR."
15.85,112,134,1,21.39,0.004,5.78,29.50875,40.2,105.25625,129.6,204.892499999998,0.996,0.996,6.62634274088143,1,"PYCNOPSYCHE SP."
15.85,95.85,134,2,15.19,0.144,1.08,26.35,27.3333333333333,64.2,678.9,987.45,0.404,0.888,3.1099756176657,0,"THIENEMANNIELLA SP."
962.5,962.5,131,2,79.82,0.004,8.77,105.664375,108,462.925,962.5,987.45,1,1,10.0050459840591,2,"SIALIS SP."
560,65.15,126,2,19.34,0.004,4.97,62.7,63.45,65.675,105.56625,123.375,0.96,1,5.4719319867515,2,"ISONYCHIA SP."
560,123.05,126,2,26.01,0.004,6.73,66.2,66.9,124.8,567.95,601.805,1,1,8.14427055647046,2,"STENELMIS SP."
16.15,220.75,123,1,14.59,0.128,1.15,26.225,35.81,189.325,436,837.5,0.628,0.74,2.82438215077754,0,"ABLABESMYIA MALLOCHI"
1061.45,294.1,118,2,19.2,0.016,3.41,24.633,43.125,280.4,314.6,362.8675,0.944,0.976,4.40344374323471,0,"HYDRACARINA"
61.85,61.35,117,2,17.84,0.004,3.5,37.29,47.3075,62.1,148.5,497.524999999999,0.936,0.968,3.82230030633626,0,"TIPULA SP."
278.2,296,115,2,25.63,0.008,5.56,59.9,61.35,140.9,304.78,450.551875,1,0.992,6.97151246329384,2,"CRICOTOPUS TREMULUS GR."
693.4,69.45,114,2,28.39,0.004,9.93,67.9,69.545,146.75,277.055,379.855,1,1,11.1443785827535,2,"CHIRONOMUS SP."
19.6,96.25,113,2,17.94,0.004,5.29,65.775,67.735,95.775,102.75,111.13,0.956,1,5.6554645961939,2,"EPHEMERA SP."
281.5,277.05,112,2,25.64,0.004,7.72,94.85,124.91,255.95,308.5,311.8,1,1,8.45065740777943,2,"PAGASTIA SP."
147.5,150.85,112,1,22.21,0.004,7.06,123.0725,137,148.9,156,162,1,1,7.59797562703193,1,"PARALEPTOPHLEBIA SP."
470.4,115.3,108,2,27.31,0.004,11.96,98.6425,108.55,118.55,179.35,267.7375,0.984,1,12.1497655448335,2,"LIMNODRILUS HOFFMEISTERI"
21.1,46.725,104,2,14.56,0.056,1.93,34.23625,44.99,63.85,351,385.05,0.868,0.868,2.85977057648682,0,"CLADOTANYTARSUS SP."
676.75,234,104,2,27.32,0.004,9.4,90.033125,172.82,300,612.11,676.75,1,1,11.0328760257325,2,"CRICOTOPUS BICINCTUS"
23.05,71.2,104,2,13.61,0.024,2.36,18.61,23.05,69.35,219.4775,299.6625,0.624,0.944,3.72404644772123,0,"NATARSIA SP."
693.4,682.65,104,2,33.23,0.02,3.64,43.4,51.0366666666667,183.25,693.4,818.4,0.932,0.908,4.90570584905613,0,"PHAENOPSECTRA SP."
962.5,42.4,102,2,19.95,0.004,5.43,38.9,39.89,67.925,106.12625,364.73,1,1,5.72353133919611,2,"CAENIS SP."
22.775,67.9,101,1,21.5,0.004,9.53,29.48625,30.17,46.875,68.605,69.855,1,1,10.8094347161174,1,"DIPLECTRONA SP."
63.85,64.55,101,1,25.83,0.004,12.06,61.72625,62.985,64.4,104,106.045625,1,1,12.769995117662,1,"HAPLOPERLA SP."
613.1,261.55,100,2,13.31,0.084,1.68,15.59,22.9225,219.395833333333,334.5,478.88625,0.648,0.836,3.26424914495028,0,"CHRYSOPS SP."
233,232.6,100,1,22.19,0.004,8.85,137,146.35,218.783333333333,234,234.65,1,1,8.72693509856263,1,"DRUNELLA CORNUTELLA"
270.15,59.7,98,2,18.7,0.004,6.29,57.75,58.245,75.275,259,270.15,1,1,7.78045729056036,2,"PARATANYTARSUS SP."
128.5,95.85,97,2,26.64,0.004,12.9,81.84,88.38,105.5125,131.625,137,1,1,14.1196581552655,2,"STENELMIS CRENATA"
439,67,97,1,15.19,0.004,4.48,59.184375,64.11,89.35,338.51,352.325,1,0.996,5.36545119384531,1,"STENONEMA SP."
23.6,29.25,95,1,17.78,0.02,2.87,23.2225,23.66,62.6,385.05,390.65,0.988,0.992,4.09396571388575,1,"EURYLOPHELLA SP."
997.95,997.95,94,2,44.05,0.004,5.56,20.6666666666667,23.245,38.075,997.95,1022.9,0.42,0.952,5.63810752446691,0,"POLYPEDILUM TRITUM"
962.5,42.35,93,1,14.44,0.016,3.18,29.69625,31.4575,52.8,826.775,962.5,0.812,0.896,4.17668411412821,0,"CERATOPOGONIDAE"
16.85,38.35,93,2,13.6,0.064,1.89,35.59,37.3,99.75,406.05,508.1675,0.556,0.884,3.37213019332079,0,"CLINOCERA SP."
16.85,16.85,93,1,27.5,0.048,2.33,16.75,16.85,38.7,444.4625,497.13125,0.804,0.924,3.7500089598362,0,"ECTOPRIA SP."
470.4,141.75,93,2,21.53,0.004,7.91,53.7,59.4,141.2,441.41625,470.73,0.996,1,8.46301983098992,2,"STICTOCHIRONOMUS SP."
588,30.375,91,1,15.55,0.044,2.32,17.74,26.35,46.7375,388.4,404.5,0.908,0.916,3.4306509613966,0,"CRICOTOPUS SP."
17.2,311.8,89,2,14.96,0.012,3.45,27.9,28.8658333333333,299.25,462.35,468.5,0.74,0.88,3.78272033919051,0,"EUKIEFFERIELLA DEVONICA GR."
62.25,66.7,86,1,21.54,0.004,11.08,62.1225,62.44,67.525,75.62,99.23,1,1,11.6755003731297,1,"PTERONARCYS SP."
428,134.9,86,1,12.28,0.02,2.59,29.71125,50.08,131,420.5,433.1225,0.988,0.992,3.72156254206061,1,"SERRATELLA DEFICIENS"
17.2,55.75,85,1,21.5,0.004,10.44,28.8908333333333,43.41,66.95,111.1,116.985,1,1,11.7945283997116,1,"SWELTSA SP."
28.7083333333333,34.95,83,1,16.9,0.004,5.68,27.3333333333333,28.26625,36.825,47.24,95.62,0.988,0.992,7.0373420564058,1,"CORYNONEURA SP."
29.5,43.35,83,1,30.79,0.004,13.86,29.48625,31.0125,43.4,56.595,63.3175,1,1,14.7060840390465,1,"PROSIMULIUM SP."
415.5,299.25,81,1,14.67,0.016,3.43,61.01,69.6,234,334,338,0.996,1,4.21557703116017,1,"LEUCROCUTA SP."
693.4,132.15,81,1,11.83,0.016,2.79,16.55,28.045,131,691.25,693.4,0.68,0.956,4.37131432870406,0,"MICROTENDIPES RYDALENSIS GR."
588,88.5875,81,2,12.18,0.024,2.59,34.475,35.5,87.89375,160,225.92,0.96,0.948,3.47455984948532,0,"PHAENOPSECTRA OBEDIENS GR."
22.975,42.4,80,2,12.07,0.032,2.3,40.85,42.895,93.2,320.665,368.3325,0.772,0.948,3.68008967637011,0,"BAETIS FLAVISTRIGA"
31.7,32.05,80,1,17.84,0.004,5.16,26.2725,29.4975,32.3,53.605,119.73,0.952,0.944,5.80664593844178,0,"PROMORESIA SP."
23.05,66.9,79,2,12.86,0.024,2.2,49.37,61.5475,100.875,704.259999999999,827,0.904,0.804,2.93854756779812,0,"ORTHOCLADIUS SP."
560,560,78,1,14.18,0.12,1.25,17.6,24.2,108,383.395,429.1275,0.52,0.804,2.78304005053029,0,"SYMPHITOPSYCHE SLOSSONAE"
579,579,77,2,22.32,0.016,2.82,37.925,45.44,567.5,602.1,662.5,0.804,0.904,3.62465647341638,0,"PERLIDAE"
18.25,29.5,76,1,23.55,0.004,7.89,15.2,17.9,26.1416666666667,42.825,46.355,1,1,9.07152690925334,1,"ECLIPIDRILUS SP."
633.1,67,76,2,11.22,0.016,3.02,17.65,18.405,66.95,356.65,363.5975,0.644,0.96,3.8305502199646,0,"NEMATODA"
29.1,45.7,76,1,16.76,0.004,5.55,29.2,29.545,47.85,59.2075,144.6675,0.996,0.996,6.33709184969729,1,"TANYTARSUS SP. 6"
