taxon,dkappa
ARSC,-2630.6250000000023
GEROT,-1268.5843253968205
FEBR,-950.5952380952317
POBI6,-1628.9652777777621
MIOB2,-1883.4379960317144
ERSI3,-2627.4196428571377
DECE,-1245.0277777777776
TRPAP,-1532.4940476190357
POARG,-1427.0947420634793
CAOC4,-2117.0039682539496
LLSE,-1442.9489087301392
LUSP4,-1929.960813492036
TRSP2,-2019.1845238094984
POVI3,-695.5009920634998
CARUD,-245.93998015873603
SEDES,-725.1433531746076
CASCS2,-1840.1051587301415
POA,-566.1468253968297
LEPY2,-2301.8928571428264
SIPR,-1777.0014880952137
FEMI3,-1625.9171626983873
SELA,-449.6448412698306
RAAD,-2001.878968253939
SIACS2,-789.3397817460344
KOMY,-2850.085813492111
NOMO2,-2545.0441468254435
STLO2,-808.3705357142943
ARFEF3,-1189.5119047618957
CHJA,-1596.0848214285609
AGME3,-987.0238095238022
ORALA,-2732.919146825443
CAPU,-180.017361111116
CAUN2,-3995.562996031827
GEAL2,-4647.50049603183
POAL2,-813.091269841278
CALE4,-637.1984126984162
CEARS2,-2600.838293650838
TEGR3,-4489.999503968339
TRDA2,-477.670138888893
CARO2,-3609.6969246032627
PHPU5,-4352.881448412783
CAREX,-904.9077380952457
DRABA,-724.38343253969
ERME2,-592.2375992063586
PODI2,-875.9141865079464
TOPY,-3755.9211309524653
CAPY3,81.9885912698306
ERNA,-3677.1542658731014
POGLR2,-118.33432539682316
SARH2,-4308.667162698494
ERPI6,-597.8015873016003
TEACC,-3535.1125992064376
DRST4,-3524.0044642858034
ELTRT,-4041.698908730239
CAHA6,-1122.1696428571402
DRCR2,-1130.2822420634875
HEMO3,-4603.557043650877
MELA3,-2584.5064484127406
SAPE18,-3976.7663690476966
ANME2,-1822.9216269841754
ARPA18,-4171.420138888971
GEAMA,-4240.748511904842
CAAL6,-532.221726190476
JUDR,-1600.4796626984569
RHIN11,-2381.069940476224
SOSIN,-765.8571428571548
DRAU,-3593.9250992064367
ERCA14,-4170.922123015954
MIRU3,-4009.642361111192
PEGR2,-2089.3740079365466
CAEL3,-451.15575396825517
CALA10,-1736.785218254014
ERIGE2,-591.5396825396888
PAPU2,-3489.417162698502
PRAN,-4051.4260912699224
SAPL2,-4034.7098214286484
SOMU,-4621.941964285795
